Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
recap_start_a0724e31	u	sometimes meant I couldn't go for another because...	game/recap/recap01.rpy	231	u "[what]"
recap_start_1ec44789	u	they were best friends...	game/recap/recap01.rpy	240	u "[what]"
recap_start_eb382f0a	u	or worse... sisters.	game/recap/recap01.rpy	244	u "[what]"
recap_start_0fc7cf7e	u	I had to decide who to pursue.	game/recap/recap01.rpy	248	u "[what]"
recap_emily_questions_b490c236	u	After forgiving her, she was really clingy and just wouldn't leave me alone.	game/recap/recap02.rpy	48	u "[what]"
recap_emily_questions_f0a63083	u	I needed to have a serious think about how far I wanted to take things with her.	game/recap/recap02.rpy	52	u "[what]"
recap_emily_questions_2ece4ff0	u	I decided it would be best to just keep her firmly in the friend zone. Much less drama that way!	game/recap/recap02.rpy	66	u "[what]"
recap_emily_questions_c0551b15	u	I guess I still had feelings for her, and the sex was always great, so why not?	game/recap/recap02.rpy	83	u "[what]"
recap_emily_questions_7d6f03c7	u	Things with Emily were very on and off. She was jealous of the attention I was getting from other girls and she wanted to stop seeing me.	game/recap/recap02.rpy	95	u "[what]"
recap_emily_questions_2f9a01ef	u	Then when we were in Europe, all that built-up tension boiled over into potentially having some angry sex.	game/recap/recap02.rpy	99	u "[what]"
recap_emily_questions_0883a59f	u	Well, it happened. I gave her what she wanted but I don't regret it. That was some hot angry sex!	game/recap/recap02.rpy	133	u "[what]"
recap_aubrey_questions_5b76f7b7	u	I wasn't so sure the friends-with-benefits thing was right for me and Aubrey.	game/recap/recap02.rpy	185	u "[what]"
recap_aubrey_questions_d3543bb4	u	I honestly preferred being friends without the benefits, at least for now.	game/recap/recap02.rpy	189	u "[what]"
recap_aubrey_questions_524fa735	u	That's the point of college, isn't it?	game/recap/recap02.rpy	204	u "[what]"
recap_aubrey_questions_ac635948	u	Having sex with hot chicks? And Aubrey was definitely hot.	game/recap/recap02.rpy	224	u "[what]"
recap_aubrey_questions_1ac411c0	u	Aubrey never thought of herself as the relationship type.	game/recap/recap02.rpy	236	u "[what]"
recap_aubrey_questions_f3122591	u	I thought I saw a romantic side in her but I didn't know if it would end well if I tried to push her in that direction.	game/recap/recap02.rpy	238	u "[what]"
recap_aubrey_questions_8d36890e	u	She didn't take it seriously at first.	game/recap/recap02.rpy	248	u "[what]"
recap_aubrey_questions_508783c1	u	Though as we became closer, she began to come around to the idea.	game/recap/recap02.rpy	252	u "[what]"
recap_aubrey_questions_d65706a4	u	But this is still new territory for us to explore.	game/recap/recap02.rpy	256	u "[what]"
recap_aubrey_questions_a383a4cd	u	In the end, I didn't go for it. Our relationship wasn't very deep, but I liked what I had.	game/recap/recap02.rpy	263	u "[what]"
recap_lauren_questions_849e56d6	u	The next day, I met up with her...	game/recap/recap02.rpy	282	u "[what]"
recap_lauren_questions_945070b6	u	and we got to talking about the dating game.	game/recap/recap02.rpy	286	u "[what]"
recap_lauren_questions_c9639203	u	That's when she kinda revealed she was still a virgin.	game/recap/recap02.rpy	290	u "[what]"
recap_lauren_questions_38c421c9	u	We later went on a date to see a movie.	game/recap/recap02.rpy	294	u "[what]"
recap_lauren_questions_70098119	u	We kissed and things seemed to be going really well.	game/recap/recap02.rpy	298	u "[what]"
recap_lauren_questions_54509cf3	u	And that's when she broke things off with me right there and then for going too far.	game/recap/recap02.rpy	318	u "[what]"
recap_lauren_questions_51831ceb	u	Maybe I'll have another chance in the future, but we'd have to stay friends for a while.	game/recap/recap02.rpy	322	u "[what]"
recap_lauren_questions_15f44f57	u	I didn't want to push things too far too soon. We continued watching the movie and had a really nice time together.	game/recap/recap02.rpy	336	u "[what]"
recap_lauren_questions_8e8144b9	u	I knew she was the right girl for me.	game/recap/recap02.rpy	340	u "[what]"
recap_lauren_questions_b8f68969	u	We were on the airplane to London for the start of our European vacation...	game/recap/recap02.rpy	345	u "[what]"
recap_lauren_questions_acb24630	u	and Aubrey wanted me to join her in the bathroom...	game/recap/recap02.rpy	353	u "[what]"
recap_lauren_questions_cdb65c87	u	for some mile-high action.	game/recap/recap02.rpy	357	u "[what]"
recap_lauren_questions_cc0682f4	u	And of course Lauren walked in on us! So that was the end of that relationship!	game/recap/recap02.rpy	384	u "[what]"
recap_lauren_questions_2a7d2122	u	I didn't take her up on her offer. I'm not going to cheat on Lauren just like that!	game/recap/recap02.rpy	396	u "[what]"
recap_lauren_questions_faececdb	u	A little later into the vacation...	game/recap/recap02.rpy	400	u "[what]"
recap_lauren_questions_c5e5201b	u	I had a really nice date with Lauren...	game/recap/recap02.rpy	409	u "[what]"
recap_lauren_questions_8ca34a23	u	and she seemed ready to have sex for the first time.	game/recap/recap02.rpy	413	u "[what]"
recap_lauren_questions_2009530c	u	I put on some extra charm...	game/recap/recap02.rpy	424	u "[what]"
recap_lauren_questions_e68c6e30	u	and was proved right.	game/recap/recap02.rpy	428	u "[what]"
recap_lauren_questions_f2691f69	u	It was slow and sensual...	game/recap/recap02.rpy	432	u "[what]"
recap_lauren_questions_9b6a61ee	u	and it felt great to be the one she chose for her first time.	game/recap/recap02.rpy	436	u "[what]"
recap_lauren_questions_e57a44fe	u	Maybe I played it wrong, but we ended up not having sex that night.	game/recap/recap02.rpy	444	u "[what]"
recap_lauren_questions_7c26e463	u	When it does eventually happen, I'll make sure it's amazing.	game/recap/recap02.rpy	448	u "[what]"
recap_autumn_questions_e37e8939	u	It wasn't going to hurt anything by hanging out with her...	game/recap/recap02.rpy	474	u "[what]"
recap_autumn_questions_20e1edbe	u	and it was actually quite fun getting to know her better and learning that she's into things like political activism.	game/recap/recap02.rpy	478	u "[what]"
recap_autumn_questions_39af5262	u	Who's got time to waste on girls that require this much effort? I'll move on quickly, thanks!	game/recap/recap02.rpy	483	u "[what]"
recap_riley_questions_7ddc64c9	u	We started hooking up...	game/recap/recap02.rpy	509	u "[what]"
recap_riley_questions_ed720181	u	and the sex was great...	game/recap/recap02.rpy	513	u "[what]"
recap_riley_questions_4a53143b	u	then later I found out that she's actually bisexual...	game/recap/recap02.rpy	518	u "[what]"
recap_riley_questions_ab18d836	u	She seemed to be hinting that she'd like some sexual experiences with other girls.	game/recap/recap02.rpy	526	u "[what]"
recap_riley_questions_e55e981f	u	I guess, as a guy, you're either into that or you're not.	game/recap/recap02.rpy	530	u "[what]"
recap_riley_questions_c38ef082	u	I'm just not into that, so it's probably for the best we stay friends.	game/recap/recap02.rpy	539	u "[what]"
recap_riley_questions_b0742073	u	Maybe I could angle for a threesome at some point! That would be incredible!	game/recap/recap02.rpy	552	u "[what]"
recap_riley_questions_f41bbf4a	u	Fast forward to right near the end of our Europe trip, while we were in Amsterdam...	game/recap/recap02.rpy	565	u "[what]"
recap_riley_questions_057608ab	u	the threesome thing became a real option!	game/recap/recap02.rpy	573	u "[what]"
recap_riley_questions_ad2f8e03	u	Wow! I won't be forgetting that in a hurry!	game/recap/recap02.rpy	595	u "[what]"
recap_riley_questions_6c615474	u	I just wasn't sure that was the right move for me with either of the girls.	game/recap/recap02.rpy	602	u "[what]"
recap_nora_questions_c85dc208	u	Yeah, actually, even if I am interested, there's no way I'm putting moves on a girl who already has a boyfriend.	game/recap/recap02.rpy	620	u "[what]"
recap_nora_questions_03491631	u	Best to stay friends without all the flirting. Plus she might tell Chris!	game/recap/recap02.rpy	624	u "[what]"
recap_nora_questions_c6a996ce	u	It's just a harmless bit of flirting...	game/recap/recap02.rpy	631	u "[what]"
recap_nora_questions_7dda2a09	u	and every girl appreciates it when a guy lets them know in the most subtle of ways that they're hot.	game/recap/recap02.rpy	635	u "[what]"
recap_nora_questions_82d19448	u	I also had the chance to help her out with signing people up for the big summer trip to Europe.	game/recap/recap02.rpy	641	u "[what]"
recap_nora_questions_2f92e9df	u	It'd be interesting to take part, but more than that, it would get Nora to like me more!	game/recap/recap02.rpy	657	u "[what]"
recap_nora_questions_c5e8fd47	u	In all honesty, I wasn't that bothered when it came down to it.	game/recap/recap02.rpy	666	u "[what]"
recap_nora_questions_3afbf61f	u	I'll just let nature take its course. What will be will be!	game/recap/recap02.rpy	670	u "[what]"
recap_nora_questions_e4305217	u	Once we were in Europe, things between Nora and Chris were getting worse.	game/recap/recap02.rpy	686	u "[what]"
recap_nora_questions_cdce7680	u	I had some alone time sightseeing with her...	game/recap/recap02.rpy	694	u "[what]"
recap_nora_questions_3ccf26e2	u	and there was the opportunity to move in for a kiss if I was interested in her, even though there was a huge risk involved and it might backfire.	game/recap/recap02.rpy	706	u "[what]"
recap_nora_questions_575af49a	u	Well that messed everything up!	game/recap/recap02.rpy	719	u "[what]"
recap_nora_questions_2396475d	u	She was angry with me for pulling a move like that and it's going to take a while to win back those trust points.	game/recap/recap02.rpy	723	u "[what]"
recap_nora_questions_e631459c	u	That was the right thing to do. No need to spoil a good thing!	game/recap/recap02.rpy	737	u "[what]"
recap_nora_questions_5d65221f	u	The decision not to kiss her meant I could get even closer to her. Later, we were talking in her hotel room.	game/recap/recap02.rpy	743	u "[what]"
recap_nora_questions_167b3f62	u	We talked about the problems she was going through with Chris...	game/recap/recap02.rpy	754	u "[what]"
recap_nora_questions_a7689f82	u	and she seemed to really appreciate being able to talk it all through with me.	game/recap/recap02.rpy	758	u "[what]"
recap_nora_questions_f074a8d2	u	She really seemed to enjoy the way I was focusing on her and showing her attention.	game/recap/recap02.rpy	775	u "[what]"
recap_nora_questions_a7b335c0	u	I went in for the kiss and it didn't stop there.	game/recap/recap02.rpy	779	u "[what]"
recap_nora_questions_4ca73328	u	We ended up having some incredible sex! Sorry, Chris!	game/recap/recap02.rpy	799	u "[what]"
recap_ms_rose_questions_2067b6ca	u	She's my teacher, so no way is anything happening there. It would only lead to trouble anyway!	game/recap/recap02.rpy	833	u "[what]"
recap_ms_rose_questions_e3f84db7	u	Who doesn't want to bang the hottest teacher at SVC? You just have to believe it's possible.	game/recap/recap02.rpy	840	u "[what]"
recap_ms_rose_questions_983d60c0	u	I had the chance to kiss her, but it was a big play with a lot of risk.	game/recap/recap02.rpy	844	u "[what]"
recap_ms_rose_questions_f1dcccaa	u	On our Europe trip, the chance came up again.	game/recap/recap02.rpy	865	u "[what]"
recap_ms_rose_questions_a028489b	u	She wanted to speak alone with me, and I could feel the sexual tension.	game/recap/recap02.rpy	869	u "[what]"
recap_ms_rose_questions_80568837	u	I wasn't wrong about the sexual tension...	game/recap/recap02.rpy	882	u "[what]"
recap_ms_rose_questions_a7ec43f0	u	and that kiss sealed the deal for a couple of amazing sex sessions!	game/recap/recap02.rpy	886	u "[what]"
recap_ms_rose_questions_e27a9ca2	u	What happens in Europe stays in Europe!	game/recap/recap02.rpy	898	u "[what]"
recap_ms_rose_questions_b202e842	u	Okay, maybe I didn't feel so confident about that sexual tension after all.	game/recap/recap02.rpy	906	u "[what]"
recap_ms_rose_questions_450e1f10	u	Yeah, on second thoughts, I figured it would be best to stay out of that one.	game/recap/recap02.rpy	914	u "[what]"
recap_chloe_questions_382708a4	u	 It was more of a friend vibe for me really...	game/recap/recap02.rpy	933	u "[what]"
recap_chloe_questions_c409bbb3	u	and to be honest, I found at least one other girl more interesting and worthy of my time.	game/recap/recap02.rpy	937	u "[what]"
recap_chloe_questions_71ba8d10	u	I was expecting this to be hard work...	game/recap/recap02.rpy	961	u "[what]"
recap_chloe_questions_14d6534f	u	but I figured the rewards would be more than worth it!	game/recap/recap02.rpy	977	u "[what]"
recap_chloe_questions_25887674	u	I didn't realize I'd be appeasing her ego so much though with all the in-fighting at her sorority.	game/recap/recap02.rpy	987	u "[what]"
recap_chloe_questions_73101077	u	Chloe was the president of the Chicks, and it seems other girls in the sorority didn't want her to be.	game/recap/recap02.rpy	999	u "[what]"
recap_chloe_questions_1af67ccd	u	It was best not to get involved too much.	game/recap/recap02.rpy	1009	u "[what]"
recap_chloe_questions_15df0896	u	I've decided Chloe is the one for me, so I'm not going to let any sorority drama get in the way of that.	game/recap/recap02.rpy	1014	u "[what]"
recap_chloe_questions_0226a826	u	Well, I tried to get her to see the other side of things, but that only made her angry.	game/recap/recap02.rpy	1029	u "[what]"
recap_chloe_questions_031e0bae	u	Luckily, she came around and didn't stay angry for long.	game/recap/recap02.rpy	1037	u "[what]"
recap_chloe_questions_c26b2f11	u	We're all good now, and I've learnt to be more careful in future...	game/recap/recap02.rpy	1041	u "[what]"
recap_chloe_questions_26c0c390	u	because Chloe really does have a bad temper when she's pissed!	game/recap/recap02.rpy	1045	u "[what]"
recap_chloe_questions_ef2fdd04	u	I'm not sure if I'm ever going to recover from that.	game/recap/recap02.rpy	1052	u "[what]"
recap_chloe_questions_7ffe1683	u	She seemed to be considering my reputation all the time, whether I'm popular enough...	game/recap/recap02.rpy	1056	u "[what]"
recap_chloe_questions_f3822d52	u	And I think I've been relegated to the friend zone.	game/recap/recap02.rpy	1060	u "[what]"
recap_chloe_questions_ec32b34b	u	In Europe, I had the chance to take things a step further.	game/recap/recap02.rpy	1071	u "[what]"
recap_chloe_questions_2f2d0bed	u	Timing is everything and I managed to play things just right.	game/recap/recap02.rpy	1081	u "[what]"
recap_chloe_questions_3d9ad6b2	u	I was now going out with the hottest girl on campus!	game/recap/recap02.rpy	1097	u "[what]"
recap_chloe_questions_eed8552c	u	It suited me much better to keep things the way they were.	game/recap/recap02.rpy	1104	u "[what]"
recap_chloe_questions_e80737ed	u	I didn't want to get tied into a proper full-on relationship with Chloe and that temper of hers!	game/recap/recap02.rpy	1108	u "[what]"
recap_penelope_questions_3aa95919	u	Later, I needed a caffeine fix so went to the local café.	game/recap/recap02.rpy	1135	u "[what]"
recap_penelope_questions_44441c0c	u	I bumped into her there and we started chatting.	game/recap/recap02.rpy	1147	u "[what]"
recap_penelope_questions_f203c4b5	u	She's got such a beautiful smile.	game/recap/recap02.rpy	1151	u "[what]"
recap_penelope_questions_4cacc3d4	u	I pushed things too far too soon, and she left the café.	game/recap/recap02.rpy	1161	u "[what]"
recap_penelope_questions_9cc09360	u	Dammit! She seems like the forgiving type, but it looks like I'm friend zoned for now.	game/recap/recap02.rpy	1165	u "[what]"
recap_penelope_questions_a4d96cf3	u	We went bowling for our first date.	game/recap/recap02.rpy	1183	u "[what]"
recap_penelope_questions_a4af815b	u	Note to self: Don't go bowling with her again as she has the skills of a pro player...	game/recap/recap02.rpy	1195	u "[what]"
recap_penelope_questions_23cf1fe5	u	and I'll lose every time!	game/recap/recap02.rpy	1199	u "[what]"
recap_penelope_questions_9cf20491	u	We ended the date with a kiss and I was flying high!	game/recap/recap02.rpy	1203	u "[what]"
recap_penelope_questions_b904e756	u	I helped Penelope with her school hearing after she got caught hacking the college system.	game/recap/recap02.rpy	1219	u "[what]"
recap_penelope_questions_11473183	u	I didn't really have any idea what I was doing...	game/recap/recap02.rpy	1223	u "[what]"
recap_penelope_questions_97450d9c	u	and I suddenly had to figure out how to behave like a professional lawyer type person.	game/recap/recap02.rpy	1227	u "[what]"
recap_penelope_questions_77552a17	u	I defended Penelope's actions and told the truth..	game/recap/recap02.rpy	1239	u "[what]"
recap_penelope_questions_b6e59ee3	u	but also used the lack of concrete facts to poke holes in their accusations against her.	game/recap/recap02.rpy	1243	u "[what]"
recap_penelope_questions_db99640d	u	And we won!	game/recap/recap02.rpy	1251	u "[what]"
recap_penelope_questions_7c11cbdf	u	I guess I'd make a pretty good lawyer type person after all!	game/recap/recap02.rpy	1255	u "[what]"
recap_penelope_questions_351650e4	u	Another bonus was the Penelope could come on the Europe trip!	game/recap/recap02.rpy	1259	u "[what]"
recap_penelope_questions_a8649cc1	u	I did my best to get them to drop the charge, but they found her guilty!	game/recap/recap02.rpy	1271	u "[what]"
recap_penelope_questions_ccedad3f	u	Penelope had a huge fine to pay and it also meant that she wasn't allowed to come on the Europe trip, which sucked big time.	game/recap/recap02.rpy	1279	u "[what]"
recap_amber_questions_91836366	u	I was popular enough for Amber to be interested.	game/recap/recap02.rpy	1310	u "[what]"
recap_amber_questions_bbdd5a13	u	That's how she works and I've got no problem with that.	game/recap/recap02.rpy	1330	u "[what]"
recap_amber_questions_c2297b01	u	Though it was just going to be a friends-with-benefits type deal for the foreseeable future.	game/recap/recap02.rpy	1346	u "[what]"
recap_amber_questions_35fccf56	u	The only way to get with Amber was by being popular.	game/recap/recap02.rpy	1358	u "[what]"
recap_amber_questions_2ffcff38	u	My reputation needed more work in order for that to happen.	game/recap/recap02.rpy	1367	u "[what]"
recap_amber_questions_0bef61e2	u	She's a fun friend to have around anyway, and maybe I'll get another chance for something more in the future.	game/recap/recap02.rpy	1375	u "[what]"
recap_samantha_questions_ffe0f139	u	Yeah, I wasn't going anywhere near Cameron's sister.	game/recap/recap02.rpy	1401	u "[what]"
recap_samantha_questions_eb29c929	u	He'd tear my arms off!	game/recap/recap02.rpy	1405	u "[what]"
recap_samantha_questions_a5ad5390	u	I was totally playing with fire...	game/recap/recap02.rpy	1417	u "[what]"
recap_samantha_questions_eab02711	u	But she was hot!	game/recap/recap02.rpy	1421	u "[what]"
recap_samantha_questions_a0368a85	u	I had the chance to decide whether I wanted to invite her on the Europe trip or not.	game/recap/recap02.rpy	1427	u "[what]"
recap_samantha_questions_9d38db30	u	We got to drinking one time and I saw first-hand how much of a lightweight she is with alcohol.	game/recap/recap02.rpy	1454	u "[what]"
recap_samantha_questions_950ee720	u	Cameron got really angry with me.	game/recap/recap02.rpy	1458	u "[what]"
recap_samantha_questions_dcd331c2	u	I think he could get a lot angrier and I had to think about whether Samantha was worth all this potential drama.	game/recap/recap02.rpy	1462	u "[what]"
recap_samantha_questions_3f83121b	u	Probably not worth it.	game/recap/recap02.rpy	1470	u "[what]"
recap_samantha_questions_ee4ed4cb	u	I decided to back off and just keep her and her psycho brother at a safe distance, as best I could anyway.	game/recap/recap02.rpy	1474	u "[what]"
recap_samantha_questions_57c417bc	u	There was a connection between us and I don't care what Cameron thinks about that.	game/recap/recap02.rpy	1489	u "[what]"
recap_samantha_questions_0fda9196	u	I want to see how far I can take things with her as our relationship builds.	game/recap/recap02.rpy	1493	u "[what]"
recap_samantha_questions_b62074dc	u	While we were in Amsterdam, there was obviously the opportunity to partake in some drug-taking.	game/recap/recap02.rpy	1506	u "[what]"
recap_samantha_questions_abfa3f2d	u	But Samantha's lack of self-control was in danger of becoming a problem.	game/recap/recap02.rpy	1510	u "[what]"
recap_samantha_questions_5489692c	u	We had a good time, but Cameron would surely be coming after me if he ever found out I was encouraging her drug habit.	game/recap/recap02.rpy	1528	u "[what]"
recap_samantha_questions_bbdd205c	u	But then I found out she ended up in the hospital after going off on her own and taking drugs with random people!	game/recap/recap02.rpy	1537	u "[what]"
recap_samantha_questions_50a1a542	u	Cameron came to find me and looked like he was going to rip my head off...	game/recap/recap02.rpy	1541	u "[what]"
recap_samantha_questions_228049a3	u	but then he realized I had tried to help her and he really appreciated it.	game/recap/recap02.rpy	1545	u "[what]"
recap_lindsey_questions_bc0c4409	u	We were having a nice chat and she was dropping signs that she was clearly interested in me.	game/recap/recap02.rpy	1573	u "[what]"
recap_lindsey_questions_d73985f5	u	She's hot, so of course I wanted to seal the deal before heading off to the tournament.	game/recap/recap02.rpy	1585	u "[what]"
recap_lindsey_questions_4ec8fd18	u	Hopefully it won't be too long before we move things beyond that kiss.	game/recap/recap02.rpy	1593	u "[what]"
recap_lindsey_questions_d6ca6ca9	u	I came to talk to her as friends, and that's how I wanted to leave it, at least for now.	game/recap/recap02.rpy	1605	u "[what]"
recap_lindsey_questions_4b80200f	u	Plus there was a fight tournament to concentrate on, and she was proving to be a bit of a distraction.	game/recap/recap02.rpy	1609	u "[what]"
recap_lindsey_questions_078bbb43	u	That time finally came when we went to Europe.	game/recap/recap02.rpy	1620	u "[what]"
recap_lindsey_questions_5dbeef32	u	It was on Lindsey's birthday, and all lights were green for me to give her a special birthday treat.	game/recap/recap02.rpy	1624	u "[what]"
recap_lindsey_questions_48789aeb	u	Well, we both got a treat that day!	game/recap/recap02.rpy	1654	u "[what]"
recap_lindsey_questions_c185248f	u	She understood that it probably wasn't the best idea to do anything in such a public place.	game/recap/recap02.rpy	1663	u "[what]"
recap_end_da32caf8	u	In just a couple of days, we were flying out to Europe!	game/recap/recap03.rpy	21	u "[what]"
recap_end_703fac82	u	London was our first stop and I couldn't wait.	game/recap/recap03.rpy	25	u "[what]"
recap_end_8102f802	u	It was time to make some more awesome memories!	game/recap/recap03.rpy	29	u "[what]"
recap_end_8ab1aa07	u	While we were in Europe...	game/recap/recap03.rpy	35	u "[what]"
recap_end_b06b3ceb	u	it got out that Lindsey had decided to run against Chloe to be president of the Chicks sorority.	game/recap/recap03.rpy	43	u "[what]"
recap_end_2ac32ff3	u	The tension was clearly building between her and Chloe.	game/recap/recap03.rpy	47	u "[what]"
recap_end_c9a0c89d	u	Pretty soon, I was going to be expected to pick a side, or...	game/recap/recap03.rpy	55	u "[what]"
recap_end_a06cc4a4	u	I'd have to be really clever about how I decide to play this out.	game/recap/recap03.rpy	59	u "[what]"
recap_end_d3f3446f	u	There was also time to see the international superstar singer Polly in concert.	game/recap/recap03.rpy	63	u "[what]"
recap_end_ce6b76cc	u	And then our Europe trip was over and it was time to fly home. It went by so fast but it's something I'll never forget!	game/recap/recap03.rpy	94	u "[what]"
starta_cf384216	em	I know what I did was bad...	game/v1/v1.rpy	13	em "[what]"
starta_64fd2540	em	But I'll do anything to make it up to you.	game/v1/v1.rpy	15	em "[what]"
starta_bf767b85	em	Anything.	game/v1/v1.rpy	20	em "[what]"
starta_a412f2c0		Honey?	game/v1/v1.rpy	28	"[what]"
starta_b3630c9b	u	Hmm...?	game/v1/v1.rpy	38	u "[what]"
starta_d8f49870	ju	Breakfast is ready!	game/v1/v1.rpy	43	ju "[what]"
starta_d1bbd257	u	Mhmm... I'll be right down.	game/v1/v1.rpy	48	u "[what]"
starta_e1ee75ad	u	(What am I doing dreaming about Emily?!)	game/v1/v1.rpy	49	u "[what]"
starta_b74833d7	ju	Good morning, honey.	game/v1/v1.rpy	55	ju "[what]"
starta_b997b913	u	Morning, Julia.	game/v1/v1.rpy	60	u "[what]"
starta_6de07b52	ju	Are you excited for today?	game/v1/v1.rpy	65	ju "[what]"
starta_4331151b	u	Excited?	game/v1/v1.rpy	70	u "[what]"
starta_92971eae	ju	Honey, it's your first day of college. That's a big deal!	game/v1/v1.rpy	75	ju "[what]"
starta_8f620671	u	I guess you're right.	game/v1/v1.rpy	80	u "[what]"
starta_2eccb6f0	ju	Have you packed all your stuff? Have you printed out all the documents you need? Have you-	game/v1/v1.rpy	84	ju "[what]"
starta_d6c07c0e	u	Julia, it's fine. I packed yesterday.	game/v1/v1.rpy	90	u "[what]"
starta_82219ef8	ju	Look at you, all grown-up. I'm so proud of you.	game/v1/v1.rpy	95	ju "[what]"
